Id;Designator;Package;Quantity;Designation;Supplier and ref
1;C6,C8,C12;CP_Radial_D7.5mm_P2.50mm;3;100u;
2;J11;PinHeader_1x02_P2.54mm_Vertical;1;Conn_01x02;
3;R9,R6,R20;R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical;3;10K;
4;BP1;YAAJ_BluePill_1;1;BluePill_1;
5;C1,C2,C3,C4;CP_Radial_D4.0mm_P2.00mm;4;10u;
6;C5,C9,C10,C11;C_Disc_D3.4mm_W2.1mm_P2.50mm;4;100n;
7;D1;D_DO-15_P10.16mm_Horizontal;1;D_Schottky;
8;J1;PinHeader_1x01_P2.54mm_Vertical;1;RSHUNT;
9;J6;PinHeader_1x08_P2.54mm_Vertical;1;OLED;
10;J7;PinHeader_1x02_P2.54mm_Vertical;1;PSU FAN;
11;J8;PinHeader_1x01_P2.54mm_Vertical;1;PS_ON;
12;J9;PinHeader_1x02_P2.54mm_Vertical;1;SW_STBY;
13;J10;PinHeader_1x10_P2.54mm_Vertical;1;LCD 16x2;
14;J14;PinHeader_1x03_P2.54mm_Vertical;1;12_SIMETRICOS;
15;Q1;TO-126-3_Vertical;1;BD139;
16;Q2;TO-126-3_Vertical;1;BD138;
17;R4,R21,R2,R1;R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical;4;2K;
18;R7;R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical;1;5.1K;
19;R10;R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical;1;20K;
20;R11;R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical;1;2.7K;
21;R12;R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical;1;220;
22;R13;R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical;1;150;
23;RV1;Potentiometer_Runtron_RM-065_Vertical;1;10K;
24;U1;SOIC-14_3.9x8.7mm_P1.27mm;1;LM324;
25;U2;TO-252-2;1;L7805;
26;R14,R15;R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal;2;220;
27;R17;R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal;1;1K;
28;R18,R16,R8;R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal;3;2K;
29;R5;R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal;1;2k;
30;R26,R27;R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal;2;2.2k;
31;R28;R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal;1;8.2k;
32;U4;TO-220-3_Vertical;1;L7805;
33;R19;R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal;1;100;
34;J2;PinHeader_1x04_P2.54mm_Vertical;1;TL494;
35;R3;R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical;1;22k;
36;R22,R23,R24,R25;R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical;4;4.7K;
37;U3;TO-92_Wide;1;TL431LP;
38;C7;CP_Radial_D12.5mm_P5.00mm;1;4700u;
